Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-09-13,6309.12,6309.12,6300.61,6300.61,13471032
2010-09-14,6266.21,6266.21,6252.31,6257.14,7413747
2010-09-15,6248.27,6272.09,6238.16,6272.09,7058414
2010-09-16,6245.27,6261.27,6245.27,6261.27,5141660
2010-09-17,6297.5,6302.96,6288.88,6302.96,14555573
2010-09-20,6300.99,6351.32,6300.99,6351.32,3965709
2010-09-21,6481.35,6489.28,6481.35,6489.28,14954240
2010-09-22,6483.5,6526.91,6483.5,6526.91,9703544
2010-09-23,6475.29,6490.25,6462.05,6490.25,9535486
2010-09-24,6486.31,6688.64,6486.31,6688.64,12382804
2010-09-27,6681.98,6706.49,6645.98,6645.98,6195649
2010-09-28,6581.17,6615.95,6566.68,6566.68,7166289
2010-09-29,6581.77,6595.47,6581.77,6586.98,4989562
2010-09-30,6597.82,6647.09,6597.82,6647.09,6976224
2010-10-01,6646.7,6668.39,6646.7,6668.39,7198375
2010-10-04,6681.57,6780.79,6681.57,6780.79,6148070
2010-10-05,6725.46,6868.01,6725.46,6868.01,5101297
2010-10-06,6820.95,6820.95,6795.85,6808.83,5940658
2010-10-07,6799.88,6861.99,6792.45,6792.45,8134417
2010-10-08,6799.43,6799.43,6757.48,6757.48,5447761
2010-10-11,6766.7,6775.89,6766.7,6775.89,2234863
2010-10-12,6728.65,6805,6728.65,6771.67,2517978
2010-10-13,6855.21,6961.49,6855.21,6961.49,7819904
2010-10-14,6960.71,6960.71,6929.06,6929.06,6162198
2010-10-15,6902.49,6920.81,6880.75,6880.75,3447319
2010-10-18,6916.53,6935.5,6916.53,6929.73,3294029
2010-10-19,6966.72,6966.72,6848,6848,5971010
2010-10-20,6839.64,6898.61,6839.64,6898.61,3025938
2010-10-21,6966.8,7071.64,6966.8,7071.64,4685562
2010-10-22,6996.96,7025.83,6996.96,7025.51,2759429
2010-10-25,7025.63,7025.63,6997.6,6997.6,3170663
2010-10-26,6919.17,6949.25,6919.14,6949.25,3240577
2010-10-27,6942.37,7020.07,6942.37,7009.84,8698685
2010-10-28,7017.56,7017.56,6992.6,6992.6,3318614
2010-10-29,6950.9,7032.8,6950.9,7032.8,3810725
2010-11-02,7085.02,7140.5,7085.02,7115.05,6210973
2010-11-03,7153.68,7159.22,7126.83,7126.83,4241426
2010-11-04,7253.33,7253.33,7241.24,7241.24,9684734
2010-11-05,7187.9,7230,7187.9,7230,6650305
2010-11-08,7223.92,7243.16,7198.31,7243.16,2828848
2010-11-09,7233.46,7269.51,7233.46,7262.73,4829107
2010-11-10,7229.58,7229.58,7151.44,7151.44,8378429
2010-11-12,7111.15,7212.76,7111.15,7212.76,4600629
2010-11-15,7169.31,7195.23,7168.32,7168.32,3695192
2010-11-16,7054.64,7066.28,7017.55,7066.28,4706524
2010-11-17,7023,7023,6946.57,6995.72,4053419
2010-11-18,7039.08,7039.08,7003.44,7003.44,4259322
2010-11-19,6968.63,6968.63,6843.4,6852.76,7098284
2010-11-22,6846.24,6846.24,6758.98,6758.98,6362642
2010-11-23,6743.65,6807.6,6743.65,6807.6,6372608
2010-11-24,6795.04,6895.14,6795.04,6895.14,4737804
2010-11-25,6887.28,6898.07,6887.28,6895.31,1761292
2010-11-26,6774.72,6844.2,6762.44,6844.2,3196970
2010-11-29,6812.19,6812.19,6768.8,6770.7,2104484
